Table: Adiabatic compressibility [G]
Temperature {K} 	Pressure {kPa} 	Adiabatic compressibility {1/kPa} 	Uncertainty {1/kPa} 
311	8000	2.27e-5	2.1e-6
311	8200	1.96e-5	1.7e-6
311	8400	1.75e-5	1.4e-6
311	8600	1.59e-5	1.2e-6
311	8800	1.47e-5	1.1e-6
311	9000	1.364e-5	9.7e-7
311	9200	1.279e-5	8.9e-7
311	9400	1.206e-5	8.1e-7
311	9600	1.144e-5	7.6e-7
311	9800	1.089e-5	7.1e-7
311	10000	1.040e-5	6.6e-7
312	200	0.00394598	8.1e-7
312	400	0.00197618	7.8e-7
312	600	0.00131954	7.7e-7
312	800	0.00099119	7.5e-7
312	1000	0.00079416	7.4e-7
312	1200	0.00066278	7.3e-7
312	1400	0.00056891	7.3e-7
312	1600	0.00049849	7.3e-7
312	1800	0.00044370	7.4e-7
312	2000	0.00039985	7.5e-7
312	2200	0.00036395	7.7e-7
312	2400	0.00033402	7.9e-7
312	2600	0.00030866	8.2e-7
312	2800	0.00028691	8.5e-7
312	3000	0.00026803	8.9e-7
312	3200	0.00025149	9.3e-7
312	3400	0.00023687	9.7e-7
312	3600	0.0002238	1.0e-6
312	3800	0.0002122	1.1e-6
312	4000	0.0002016	1.1e-6
312	4200	0.0001920	1.2e-6
312	4400	0.0001833	1.2e-6
312	4600	0.0001752	1.3e-6
312	4800	0.0001678	1.3e-6
312	5000	0.0001609	1.4e-6
312	5200	0.0001545	1.5e-6
312	5400	0.0001484	1.6e-6
312	5600	0.0001427	1.6e-6
312	5800	0.0001373	1.7e-6
312	6000	0.0001321	1.9e-6
312	6200	0.0001270	2.0e-6
312	6400	0.0001220	2.2e-6
312	6600	0.0001170	2.5e-6
312	6800	0.0001119	2.9e-6
312	7000	0.0001063	3.5e-6
312	7200	9.98e-5	4.5e-6
312	7400	9.08e-5	6.2e-6
312	7600	7.0e-5	1.1e-5
312	7800	3.89e-5	5.0e-6
312	8000	2.85e-5	2.7e-6
312	8200	2.34e-5	2.0e-6
312	8400	2.03e-5	1.6e-6
312	8600	1.81e-5	1.4e-6
312	8800	1.64e-5	1.2e-6
312	9000	1.51e-5	1.1e-6
312	9200	1.403e-5	9.6e-7
312	9400	1.314e-5	8.8e-7
312	9600	1.238e-5	8.1e-7
312	9800	1.173e-5	7.5e-7
312	10000	1.116e-5	7e-7
313	200	0.00394707	8e-7
313	400	0.00197668	7.8e-7
313	600	0.00131984	7.6e-7
313	800	0.00099140	7.5e-7
313	1000	0.00079430	7.3e-7
313	1200	0.00066288	7.3e-7
313	1400	0.00056899	7.2e-7
313	1600	0.00049854	7.2e-7
313	1800	0.00044374	7.3e-7
313	2000	0.00039987	7.4e-7
313	2200	0.00036396	7.6e-7
313	2400	0.00033401	7.8e-7
313	2600	0.00030865	8.1e-7
313	2800	0.00028689	8.4e-7
313	3000	0.00026800	8.8e-7
313	3200	0.00025146	9.1e-7
313	3400	0.00023683	9.6e-7
313	3600	0.0002238	1.0e-6
313	3800	0.0002121	1.0e-6
313	4000	0.0002016	1.1e-6
313	4200	0.0001920	1.2e-6
313	4400	0.0001832	1.2e-6
313	4600	0.0001752	1.3e-6
313	4800	0.0001677	1.3e-6
313	5000	0.0001609	1.4e-6
313	5200	0.0001544	1.4e-6
313	5400	0.0001484	1.5e-6
313	5600	0.0001427	1.6e-6
313	5800	0.0001373	1.7e-6
313	6000	0.0001321	1.8e-6
313	6200	0.0001271	1.9e-6
313	6400	0.0001222	2.1e-6
313	6600	0.0001173	2.4e-6
313	6800	0.0001123	2.7e-6
313	7000	0.0001071	3.2e-6
313	7200	0.0001012	3.9e-6
313	7400	9.41e-5	5.1e-6
313	7600	8.34e-5	7.0e-6
313	7800	6.06e-5	8.7e-6
313	8000	3.87e-5	4.4e-6
313	8200	2.91e-5	2.5e-6
313	8400	2.41e-5	1.9e-6
313	8600	2.09e-5	1.6e-6
313	8800	1.86e-5	1.3e-6
313	9000	1.69e-5	1.2e-6
313	9200	1.55e-5	1.0e-6
313	9400	1.440e-5	9.5e-7
313	9600	1.348e-5	8.7e-7
313	9800	1.269e-5	8e-7
313	10000	1.202e-5	7.5e-7
314	200	0.00394816	8e-7
314	400	0.00197718	7.8e-7
314	600	0.00132015	7.6e-7
314	800	0.00099160	7.4e-7
314	1000	0.00079444	7.3e-7
314	1200	0.00066298	7.2e-7
314	1400	0.00056906	7.2e-7
314	1600	0.00049860	7.2e-7
314	1800	0.00044377	7.3e-7
314	2000	0.00039989	7.4e-7
314	2200	0.00036396	7.6e-7
314	2400	0.00033400	7.8e-7
314	2600	0.00030863	8e-7
314	2800	0.00028686	8.3e-7
314	3000	0.00026797	8.7e-7
314	3200	0.00025142	9e-7
314	3400	0.00023679	9.5e-7
314	3600	0.00022375	9.9e-7
314	3800	0.0002121	1.0e-6
314	4000	0.0002015	1.1e-6
314	4200	0.0001919	1.1e-6
314	4400	0.0001832	1.2e-6
314	4600	0.0001751	1.2e-6
314	4800	0.0001677	1.3e-6
314	5000	0.0001608	1.4e-6
314	5200	0.0001544	1.4e-6
314	5400	0.0001484	1.5e-6
314	5600	0.0001427	1.6e-6
314	5800	0.0001373	1.6e-6
314	6000	0.0001322	1.7e-6
314	6200	0.0001272	1.9e-6
314	6400	0.0001223	2.0e-6
314	6600	0.0001175	2.2e-6
314	6800	0.0001127	2.5e-6
314	7000	0.0001077	2.9e-6
314	7200	0.0001023	3.5e-6
314	7400	9.61e-5	4.3e-6
314	7600	8.82e-5	5.6e-6
314	7800	7.56e-5	7.3e-6
314	8000	5.48e-5	6.8e-6
314	8200	3.82e-5	3.8e-6
314	8400	2.96e-5	2.4e-6
314	8600	2.47e-5	1.8e-6
314	8800	2.14e-5	1.5e-6
314	9000	1.91e-5	1.3e-6
314	9200	1.73e-5	1.1e-6
314	9400	1.59e-5	1.0e-6
314	9600	1.477e-5	9.3e-7
314	9800	1.381e-5	8.5e-7
314	10000	1.300e-5	7.9e-7
315	200	0.00394924	8e-7
315	400	0.00197767	7.7e-7
315	600	0.00132045	7.5e-7
315	800	0.00099180	7.4e-7
315	1000	0.00079459	7.3e-7
315	1200	0.00066309	7.2e-7
315	1400	0.00056913	7.2e-7
315	1600	0.00049865	7.2e-7
315	1800	0.00044380	7.2e-7
315	2000	0.00039991	7.3e-7
315	2200	0.00036397	7.5e-7
315	2400	0.00033400	7.7e-7
315	2600	0.00030862	8e-7
315	2800	0.00028685	8.2e-7
315	3000	0.00026795	8.6e-7
315	3200	0.00025139	8.9e-7
315	3400	0.00023675	9.3e-7
315	3600	0.00022371	9.8e-7
315	3800	0.0002120	1.0e-6
315	4000	0.0002015	1.1e-6
315	4200	0.0001919	1.1e-6
315	4400	0.0001831	1.2e-6
315	4600	0.0001751	1.2e-6
315	4800	0.0001676	1.3e-6
315	5000	0.0001608	1.3e-6
315	5200	0.0001543	1.4e-6
315	5400	0.0001483	1.5e-6
315	5600	0.0001427	1.5e-6
315	5800	0.0001373	1.6e-6
315	6000	0.0001322	1.7e-6
315	6200	0.0001272	1.8e-6
315	6400	0.0001224	1.9e-6
315	6600	0.0001177	2.1e-6
315	6800	0.0001130	2.3e-6
315	7000	0.0001082	2.7e-6
315	7200	0.0001031	3.1e-6
315	7400	9.75e-5	3.8e-6
315	7600	9.09e-5	4.7e-6
315	7800	8.21e-5	6.0e-6
315	8000	6.84e-5	6.8e-6
315	8200	5.09e-5	5.6e-6
315	8400	3.77e-5	3.4e-6
315	8600	2.99e-5	2.2e-6
315	8800	2.51e-5	1.7e-6
315	9000	2.19e-5	1.4e-6
315	9200	1.95e-5	1.2e-6
315	9400	1.77e-5	1.1e-6
315	9600	1.629e-5	1.00e-6
315	9800	1.512e-5	9.1e-7
315	10000	1.413e-5	8.4e-7
316	200	0.00395031	7.9e-7
316	400	0.00197817	7.7e-7
316	600	0.00132075	7.5e-7
316	800	0.00099200	7.4e-7
316	1000	0.00079473	7.2e-7
316	1200	0.00066319	7.2e-7
316	1400	0.00056921	7.1e-7
316	1600	0.00049870	7.1e-7
316	1800	0.00044384	7.2e-7
316	2000	0.00039993	7.3e-7
316	2200	0.00036398	7.4e-7
316	2400	0.00033400	7.6e-7
316	2600	0.00030861	7.9e-7
316	2800	0.00028683	8.2e-7
316	3000	0.00026792	8.5e-7
316	3200	0.00025136	8.9e-7
316	3400	0.00023672	9.2e-7
316	3600	0.00022367	9.7e-7
316	3800	0.0002120	1.0e-6
316	4000	0.0002014	1.1e-6
316	4200	0.0001918	1.1e-6
316	4400	0.0001831	1.2e-6
316	4600	0.0001750	1.2e-6
316	4800	0.0001676	1.3e-6
316	5000	0.0001607	1.3e-6
316	5200	0.0001543	1.4e-6
316	5400	0.0001483	1.4e-6
316	5600	0.0001427	1.5e-6
316	5800	0.0001373	1.6e-6
316	6000	0.0001322	1.6e-6
316	6200	0.0001273	1.7e-6
316	6400	0.0001226	1.9e-6
316	6600	0.0001179	2.0e-6
316	6800	0.0001133	2.2e-6
316	7000	0.0001086	2.5e-6
316	7200	0.0001038	2.9e-6
316	7400	9.86e-5	3.4e-6
316	7600	9.28e-5	4.1e-6
316	7800	8.57e-5	5.1e-6
316	8000	7.60e-5	6.1e-6
316	8200	6.24e-5	6.1e-6
316	8400	4.80e-5	4.7e-6
316	8600	3.71e-5	3.0e-6
316	8800	3.01e-5	2.1e-6
316	9000	2.55e-5	1.6e-6
316	9200	2.23e-5	1.4e-6
316	9400	1.99e-5	1.2e-6
316	9600	1.81e-5	1.1e-6
316	9800	1.665e-5	9.7e-7
316	10000	1.545e-5	8.9e-7
317	200	0.00395138	7.9e-7
317	400	0.00197866	7.7e-7
317	600	0.00132105	7.5e-7
317	800	0.00099220	7.3e-7
317	1000	0.00079487	7.2e-7
317	1200	0.00066329	7.1e-7
317	1400	0.00056928	7.1e-7
317	1600	0.00049875	7.1e-7
317	1800	0.00044387	7.1e-7
317	2000	0.00039995	7.2e-7
317	2200	0.00036399	7.4e-7
317	2400	0.00033400	7.6e-7
317	2600	0.00030860	7.8e-7
317	2800	0.00028681	8.1e-7
317	3000	0.00026790	8.4e-7
317	3200	0.00025133	8.8e-7
317	3400	0.00023668	9.1e-7
317	3600	0.00022363	9.5e-7
317	3800	0.00021193	1.00e-6
317	4000	0.0002014	1.0e-6
317	4200	0.0001918	1.1e-6
317	4400	0.0001830	1.1e-6
317	4600	0.0001750	1.2e-6
317	4800	0.0001676	1.2e-6
317	5000	0.0001607	1.3e-6
317	5200	0.0001543	1.3e-6
317	5400	0.0001483	1.4e-6
317	5600	0.0001426	1.5e-6
317	5800	0.0001373	1.5e-6
317	6000	0.0001322	1.6e-6
317	6200	0.0001273	1.7e-6
317	6400	0.0001226	1.8e-6
317	6600	0.0001180	1.9e-6
317	6800	0.0001135	2.1e-6
317	7000	0.0001090	2.3e-6
317	7200	0.0001043	2.6e-6
317	7400	9.94e-5	3.1e-6
317	7600	9.41e-5	3.6e-6
317	7800	8.80e-5	4.4e-6
317	8000	8.04e-5	5.3e-6
317	8200	7.03e-5	5.9e-6
317	8400	5.78e-5	5.4e-6
317	8600	4.57e-5	4.1e-6
317	8800	3.64e-5	2.8e-6
317	9000	3.01e-5	2.0e-6
317	9200	2.58e-5	1.5e-6
317	9400	2.27e-5	1.3e-6
317	9600	2.03e-5	1.1e-6
317	9800	1.85e-5	1.0e-6
317	10000	1.698e-5	9.4e-7
318	200	0.00395245	7.8e-7
318	400	0.00197915	7.6e-7
318	600	0.00132134	7.4e-7
318	800	0.00099241	7.3e-7
318	1000	0.00079502	7.2e-7
318	1200	0.00066340	7.1e-7
318	1400	0.00056936	7.1e-7
318	1600	0.00049880	7.1e-7
318	1800	0.00044391	7.1e-7
318	2000	0.00039997	7.2e-7
318	2200	0.00036400	7.3e-7
318	2400	0.00033400	7.5e-7
318	2600	0.00030860	7.8e-7
318	2800	0.00028680	8e-7
318	3000	0.00026788	8.3e-7
318	3200	0.00025130	8.7e-7
318	3400	0.00023665	9e-7
318	3600	0.00022360	9.4e-7
318	3800	0.00021189	9.8e-7
318	4000	0.0002013	1.0e-6
318	4200	0.0001917	1.1e-6
318	4400	0.0001830	1.1e-6
318	4600	0.0001749	1.2e-6
318	4800	0.0001675	1.2e-6
318	5000	0.0001606	1.3e-6
318	5200	0.0001542	1.3e-6
318	5400	0.0001483	1.4e-6
318	5600	0.0001426	1.4e-6
318	5800	0.0001373	1.5e-6
318	6000	0.0001322	1.6e-6
318	6200	0.0001274	1.6e-6
318	6400	0.0001227	1.7e-6
318	6600	0.0001182	1.8e-6
318	6800	0.0001137	2.0e-6
318	7000	0.0001093	2.2e-6
318	7200	0.0001048	2.5e-6
318	7400	0.0001001	2.8e-6
318	7600	9.51e-5	3.3e-6
318	7800	8.96e-5	3.9e-6
318	8000	8.32e-5	4.6e-6
318	8200	7.53e-5	5.3e-6
318	8400	6.53e-5	5.5e-6
318	8600	5.40e-5	4.7e-6
318	8800	4.38e-5	3.6e-6
318	9000	3.58e-5	2.5e-6
318	9200	3.01e-5	1.8e-6
318	9400	2.60e-5	1.5e-6
318	9600	2.29e-5	1.3e-6
318	9800	2.06e-5	1.1e-6
318	10000	1.88e-5	1.0e-6
319	200	0.00395351	7.8e-7
319	400	0.00197964	7.6e-7
319	600	0.00132164	7.4e-7
319	800	0.00099261	7.3e-7
319	1000	0.00079516	7.1e-7
319	1200	0.00066350	7.1e-7
319	1400	0.00056943	7e-7
319	1600	0.00049886	7e-7
319	1800	0.00044395	7.1e-7
319	2000	0.00039999	7.2e-7
319	2200	0.00036401	7.3e-7
319	2400	0.00033400	7.5e-7
319	2600	0.00030859	7.7e-7
319	2800	0.00028678	8e-7
319	3000	0.00026786	8.3e-7
319	3200	0.00025128	8.6e-7
319	3400	0.00023662	8.9e-7
319	3600	0.00022357	9.3e-7
319	3800	0.00021186	9.7e-7
319	4000	0.0002013	1.0e-6
319	4200	0.0001917	1.1e-6
319	4400	0.0001829	1.1e-6
319	4600	0.0001749	1.1e-6
319	4800	0.0001675	1.2e-6
319	5000	0.0001606	1.2e-6
319	5200	0.0001542	1.3e-6
319	5400	0.0001482	1.3e-6
319	5600	0.0001426	1.4e-6
319	5800	0.0001373	1.5e-6
319	6000	0.0001323	1.5e-6
319	6200	0.0001274	1.6e-6
319	6400	0.0001228	1.7e-6
319	6600	0.0001183	1.8e-6
319	6800	0.0001139	1.9e-6
319	7000	0.0001095	2.1e-6
319	7200	0.0001051	2.3e-6
319	7400	0.0001007	2.6e-6
319	7600	9.60e-5	3.0e-6
319	7800	9.09e-5	3.5e-6
319	8000	8.52e-5	4.1e-6
319	8200	7.86e-5	4.8e-6
319	8400	7.05e-5	5.2e-6
319	8600	6.09e-5	5.0e-6
319	8800	5.10e-5	4.2e-6
319	9000	4.22e-5	3.2e-6
319	9200	3.52e-5	2.3e-6
319	9400	3.00e-5	1.7e-6
319	9600	2.61e-5	1.4e-6
319	9800	2.32e-5	1.2e-6
319	10000	2.09e-5	1.1e-6
320	200	0.00395456	7.8e-7
320	400	0.00198013	7.6e-7
320	600	0.00132194	7.4e-7
320	800	0.00099281	7.2e-7
320	1000	0.00079530	7.1e-7
320	1200	0.00066360	7e-7
320	1400	0.00056951	7e-7
320	1600	0.00049891	7e-7
320	1800	0.00044398	7e-7
320	2000	0.00040002	7.1e-7
320	2200	0.00036402	7.2e-7
320	2400	0.00033401	7.4e-7
320	2600	0.00030858	7.6e-7
320	2800	0.00028677	7.9e-7
320	3000	0.00026784	8.2e-7
320	3200	0.00025125	8.5e-7
320	3400	0.00023659	8.8e-7
320	3600	0.00022353	9.2e-7
320	3800	0.00021182	9.6e-7
320	4000	0.0002012	1.0e-6
320	4200	0.0001916	1.0e-6
320	4400	0.0001829	1.1e-6
320	4600	0.0001748	1.1e-6
320	4800	0.0001674	1.2e-6
320	5000	0.0001606	1.2e-6
320	5200	0.0001542	1.3e-6
320	5400	0.0001482	1.3e-6
320	5600	0.0001426	1.4e-6
320	5800	0.0001373	1.4e-6
320	6000	0.0001323	1.5e-6
320	6200	0.0001275	1.5e-6
320	6400	0.0001229	1.6e-6
320	6600	0.0001184	1.7e-6
320	6800	0.0001140	1.8e-6
320	7000	0.0001098	2.0e-6
320	7200	0.0001055	2.2e-6
320	7400	0.0001011	2.4e-6
320	7600	9.66e-5	2.7e-6
320	7800	9.19e-5	3.2e-6
320	8000	8.68e-5	3.7e-6
320	8200	8.09e-5	4.3e-6
320	8400	7.41e-5	4.8e-6
320	8600	6.61e-5	5.0e-6
320	8800	5.72e-5	4.5e-6
320	9000	4.84e-5	3.7e-6
320	9200	4.08e-5	2.8e-6
320	9400	3.46e-5	2.1e-6
320	9600	2.98e-5	1.6e-6
320	9800	2.62e-5	1.3e-6
320	10000	2.34e-5	1.2e-6
321	200	0.00395562	7.7e-7
321	400	0.00198061	7.5e-7
321	600	0.00132223	7.4e-7
321	800	0.00099301	7.2e-7
321	1000	0.00079544	7.1e-7
321	1200	0.00066371	7e-7
321	1400	0.00056958	7e-7
321	1600	0.00049897	7e-7
321	1800	0.00044402	7e-7
321	2000	0.00040004	7.1e-7
321	2200	0.00036404	7.2e-7
321	2400	0.00033401	7.4e-7
321	2600	0.00030858	7.6e-7
321	2800	0.00028676	7.8e-7
321	3000	0.00026783	8.1e-7
321	3200	0.00025123	8.4e-7
321	3400	0.00023657	8.8e-7
321	3600	0.00022351	9.1e-7
321	3800	0.00021179	9.5e-7
321	4000	0.00020121	9.9e-7
321	4200	0.0001916	1.0e-6
321	4400	0.0001828	1.1e-6
321	4600	0.0001748	1.1e-6
321	4800	0.0001674	1.2e-6
321	5000	0.0001605	1.2e-6
321	5200	0.0001542	1.3e-6
321	5400	0.0001482	1.3e-6
321	5600	0.0001426	1.3e-6
321	5800	0.0001373	1.4e-6
321	6000	0.0001323	1.4e-6
321	6200	0.0001275	1.5e-6
321	6400	0.0001229	1.6e-6
321	6600	0.0001185	1.7e-6
321	6800	0.0001142	1.8e-6
321	7000	0.0001100	1.9e-6
321	7200	0.0001058	2.0e-6
321	7400	0.0001015	2.3e-6
321	7600	9.72e-5	2.5e-6
321	7800	9.27e-5	2.9e-6
321	8000	8.79e-5	3.3e-6
321	8200	8.27e-5	3.8e-6
321	8400	7.68e-5	4.3e-6
321	8600	6.99e-5	4.7e-6
321	8800	6.22e-5	4.6e-6
321	9000	5.40e-5	4.1e-6
321	9200	4.63e-5	3.3e-6
321	9400	3.95e-5	2.6e-6
321	9600	3.40e-5	2.0e-6
321	9800	2.96e-5	1.6e-6
321	10000	2.62e-5	1.3e-6
322	200	0.00395666	7.7e-7
322	400	0.00198110	7.5e-7
322	600	0.00132253	7.3e-7
322	800	0.00099321	7.2e-7
322	1000	0.00079559	7.1e-7
322	1200	0.00066381	7e-7
322	1400	0.00056966	6.9e-7
322	1600	0.00049902	6.9e-7
322	1800	0.00044406	7e-7
322	2000	0.00040007	7e-7
322	2200	0.00036405	7.2e-7
322	2400	0.00033402	7.3e-7
322	2600	0.00030858	7.5e-7
322	2800	0.00028675	7.8e-7
322	3000	0.00026781	8e-7
322	3200	0.00025121	8.3e-7
322	3400	0.00023654	8.7e-7
322	3600	0.00022348	9e-7
322	3800	0.00021176	9.4e-7
322	4000	0.00020118	9.8e-7
322	4200	0.0001916	1.0e-6
322	4400	0.0001828	1.1e-6
322	4600	0.0001748	1.1e-6
322	4800	0.0001674	1.1e-6
322	5000	0.0001605	1.2e-6
322	5200	0.0001541	1.2e-6
322	5400	0.0001482	1.3e-6
322	5600	0.0001426	1.3e-6
322	5800	0.0001373	1.4e-6
322	6000	0.0001323	1.4e-6
322	6200	0.0001275	1.5e-6
322	6400	0.0001230	1.5e-6
322	6600	0.0001186	1.6e-6
322	6800	0.0001143	1.7e-6
322	7000	0.0001101	1.8e-6
322	7200	0.0001060	1.9e-6
322	7400	0.0001019	2.1e-6
322	7600	9.77e-5	2.4e-6
322	7800	9.34e-5	2.7e-6
322	8000	8.89e-5	3.0e-6
322	8200	8.41e-5	3.5e-6
322	8400	7.87e-5	3.9e-6
322	8600	7.28e-5	4.3e-6
322	8800	6.60e-5	4.5e-6
322	9000	5.87e-5	4.3e-6
322	9200	5.13e-5	3.7e-6
322	9400	4.44e-5	3.0e-6
322	9600	3.84e-5	2.4e-6
322	9800	3.34e-5	1.8e-6
322	10000	2.94e-5	1.5e-6
323	200	0.00395771	7.7e-7
323	400	0.00198158	7.5e-7
323	600	0.00132282	7.3e-7
323	800	0.00099341	7.1e-7
323	1000	0.00079573	7e-7
323	1200	0.00066392	6.9e-7
323	1400	0.00056974	6.9e-7
323	1600	0.00049908	6.9e-7
323	1800	0.00044410	6.9e-7
323	2000	0.00040009	7e-7
323	2200	0.00036407	7.1e-7
323	2400	0.00033402	7.3e-7
323	2600	0.00030858	7.5e-7
323	2800	0.00028674	7.7e-7
323	3000	0.00026780	8e-7
323	3200	0.00025120	8.3e-7
323	3400	0.00023652	8.6e-7
323	3600	0.00022345	8.9e-7
323	3800	0.00021173	9.3e-7
323	4000	0.00020115	9.7e-7
323	4200	0.0001915	1.0e-6
323	4400	0.0001828	1.0e-6
323	4600	0.0001747	1.1e-6
323	4800	0.0001673	1.1e-6
323	5000	0.0001605	1.2e-6
323	5200	0.0001541	1.2e-6
323	5400	0.0001481	1.3e-6
323	5600	0.0001426	1.3e-6
323	5800	0.0001373	1.3e-6
323	6000	0.0001323	1.4e-6
323	6200	0.0001276	1.4e-6
323	6400	0.0001230	1.5e-6
323	6600	0.0001187	1.6e-6
323	6800	0.0001144	1.6e-6
323	7000	0.0001103	1.7e-6
323	7200	0.0001062	1.9e-6
323	7400	0.0001022	2.0e-6
323	7600	9.81e-5	2.2e-6
323	7800	9.40e-5	2.5e-6
323	8000	8.97e-5	2.8e-6
323	8200	8.52e-5	3.2e-6
323	8400	8.03e-5	3.6e-6
323	8600	7.49e-5	4.0e-6
323	8800	6.90e-5	4.2e-6
323	9000	6.25e-5	4.2e-6
323	9200	5.56e-5	3.9e-6
323	9400	4.89e-5	3.4e-6
323	9600	4.27e-5	2.7e-6
323	9800	3.74e-5	2.2e-6
323	10000	3.28e-5	1.7e-6
324	200	0.00395874	7.6e-7
324	400	0.00198206	7.4e-7
324	600	0.00132312	7.3e-7
324	800	0.00099361	7.1e-7
324	1000	0.00079587	7e-7
324	1200	0.00066402	6.9e-7
324	1400	0.00056982	6.9e-7
324	1600	0.00049914	6.9e-7
324	1800	0.00044414	6.9e-7
324	2000	0.00040012	7e-7
324	2200	0.00036408	7.1e-7
324	2400	0.00033403	7.2e-7
324	2600	0.00030858	7.4e-7
324	2800	0.00028674	7.6e-7
324	3000	0.00026779	7.9e-7
324	3200	0.00025118	8.2e-7
324	3400	0.00023650	8.5e-7
324	3600	0.00022343	8.8e-7
324	3800	0.00021170	9.2e-7
324	4000	0.00020112	9.5e-7
324	4200	0.00019152	9.9e-7
324	4400	0.0001828	1.0e-6
324	4600	0.0001747	1.1e-6
324	4800	0.0001673	1.1e-6
324	5000	0.0001605	1.2e-6
324	5200	0.0001541	1.2e-6
324	5400	0.0001481	1.2e-6
324	5600	0.0001425	1.3e-6
324	5800	0.0001373	1.3e-6
324	6000	0.0001323	1.4e-6
324	6200	0.0001276	1.4e-6
324	6400	0.0001231	1.5e-6
324	6600	0.0001187	1.5e-6
324	6800	0.0001145	1.6e-6
324	7000	0.0001104	1.7e-6
324	7200	0.0001064	1.8e-6
324	7400	0.0001025	1.9e-6
324	7600	9.85e-5	2.1e-6
324	7800	9.45e-5	2.3e-6
324	8000	9.04e-5	2.6e-6
324	8200	8.61e-5	2.9e-6
324	8400	8.16e-5	3.3e-6
324	8600	7.67e-5	3.6e-6
324	8800	7.13e-5	3.9e-6
324	9000	6.55e-5	4.1e-6
324	9200	5.93e-5	4.0e-6
324	9400	5.29e-5	3.6e-6
324	9600	4.68e-5	3.0e-6
324	9800	4.13e-5	2.5e-6
324	10000	3.64e-5	2.0e-6
325	200	0.00395978	7.6e-7
325	400	0.00198254	7.4e-7
325	600	0.00132341	7.2e-7
325	800	0.00099381	7.1e-7
325	1000	0.00079602	7e-7
325	1200	0.00066413	6.9e-7
325	1400	0.00056989	6.8e-7
325	1600	0.00049919	6.8e-7
325	1800	0.00044418	6.9e-7
325	2000	0.00040015	6.9e-7
325	2200	0.00036410	7e-7
325	2400	0.00033404	7.2e-7
325	2600	0.00030858	7.4e-7
325	2800	0.00028673	7.6e-7
325	3000	0.00026777	7.8e-7
325	3200	0.00025116	8.1e-7
325	3400	0.00023648	8.4e-7
325	3600	0.00022340	8.7e-7
325	3800	0.00021168	9.1e-7
325	4000	0.00020109	9.4e-7
325	4200	0.00019149	9.8e-7
325	4400	0.0001827	1.0e-6
325	4600	0.0001747	1.1e-6
325	4800	0.0001673	1.1e-6
325	5000	0.0001604	1.1e-6
325	5200	0.0001541	1.2e-6
325	5400	0.0001481	1.2e-6
325	5600	0.0001425	1.3e-6
325	5800	0.0001373	1.3e-6
325	6000	0.0001323	1.3e-6
325	6200	0.0001276	1.4e-6
325	6400	0.0001231	1.4e-6
325	6600	0.0001188	1.5e-6
325	6800	0.0001146	1.5e-6
325	7000	0.0001106	1.6e-6
325	7200	0.0001066	1.7e-6
325	7400	0.0001027	1.8e-6
325	7600	9.88e-5	2.0e-6
325	7800	9.49e-5	2.2e-6
325	8000	9.10e-5	2.4e-6
325	8200	8.69e-5	2.7e-6
325	8400	8.26e-5	3.0e-6
325	8600	7.81e-5	3.3e-6
325	8800	7.32e-5	3.7e-6
325	9000	6.79e-5	3.9e-6
325	9200	6.23e-5	3.9e-6
325	9400	5.64e-5	3.7e-6
325	9600	5.05e-5	3.3e-6
325	9800	4.50e-5	2.8e-6
325	10000	4.00e-5	2.3e-6
326	200	0.00396081	7.6e-7
326	400	0.00198301	7.4e-7
326	600	0.00132370	7.2e-7
326	800	0.00099401	7.1e-7
326	1000	0.00079616	6.9e-7
326	1200	0.00066423	6.9e-7
326	1400	0.00056997	6.8e-7
326	1600	0.00049925	6.8e-7
326	1800	0.00044422	6.8e-7
326	2000	0.00040018	6.9e-7
326	2200	0.00036412	7e-7
326	2400	0.00033405	7.1e-7
326	2600	0.00030858	7.3e-7
326	2800	0.00028673	7.5e-7
326	3000	0.00026776	7.8e-7
326	3200	0.00025115	8e-7
326	3400	0.00023646	8.3e-7
326	3600	0.00022338	8.6e-7
326	3800	0.00021165	9e-7
326	4000	0.00020107	9.3e-7
326	4200	0.00019146	9.7e-7
326	4400	0.0001827	1.0e-6
326	4600	0.0001747	1.0e-6
326	4800	0.0001673	1.1e-6
326	5000	0.0001604	1.1e-6
326	5200	0.0001540	1.2e-6
326	5400	0.0001481	1.2e-6
326	5600	0.0001425	1.2e-6
326	5800	0.0001373	1.3e-6
326	6000	0.0001323	1.3e-6
326	6200	0.0001276	1.4e-6
326	6400	0.0001232	1.4e-6
326	6600	0.0001189	1.4e-6
326	6800	0.0001147	1.5e-6
326	7000	0.0001107	1.6e-6
326	7200	0.0001068	1.7e-6
326	7400	0.0001029	1.8e-6
326	7600	9.91e-5	1.9e-6
326	7800	9.53e-5	2.0e-6
326	8000	9.15e-5	2.2e-6
326	8200	8.75e-5	2.5e-6
326	8400	8.35e-5	2.8e-6
326	8600	7.92e-5	3.1e-6
326	8800	7.47e-5	3.4e-6
326	9000	6.99e-5	3.6e-6
326	9200	6.47e-5	3.7e-6
326	9400	5.93e-5	3.7e-6
326	9600	5.38e-5	3.4e-6
326	9800	4.84e-5	3.0e-6
326	10000	4.34e-5	2.5e-6
327	200	0.00396183	7.5e-7
327	400	0.00198349	7.3e-7
327	600	0.00132399	7.2e-7
327	800	0.00099420	7e-7
327	1000	0.00079630	6.9e-7
327	1200	0.00066434	6.8e-7
327	1400	0.00057005	6.8e-7
327	1600	0.00049931	6.8e-7
