Table: Enthalpy [G]
Temperature {K} 	 Pressure {Pa} 	 Specific Enthalpy {J/Kg}
248 	 1200000 	 7.071029e+05
248 	 1400000 	 7.029382e+05
249 	 200000 	 7.248123e+05
249 	 400000 	 7.218666e+05
249 	 600000 	 7.187528e+05
249 	 800000 	 7.154525e+05
249 	 1000000 	 7.119339e+05
249 	 1200000 	 7.081572e+05
249 	 1400000 	 7.040737e+05
250 	 200000 	 7.256849e+05
250 	 400000 	 7.227655e+05
250 	 600000 	 7.196859e+05
250 	 800000 	 7.164279e+05
250 	 1000000 	 7.129615e+05
250 	 1200000 	 7.092484e+05
250 	 1400000 	 7.052435e+05
250 	 1600000 	 7.008865e+05
251 	 200000 	 7.265017e+05
251 	 400000 	 7.236144e+05
251 	 600000 	 7.205703e+05
251 	 800000 	 7.173550e+05
251 	 1000000 	 7.139409e+05
251 	 1200000 	 7.102935e+05
251 	 1400000 	 7.063694e+05
251 	 1600000 	 7.021129e+05
252 	 200000 	 7.273570e+05
252 	 400000 	 7.244999e+05
252 	 600000 	 7.214914e+05
252 	 800000 	 7.183156e+05
252 	 1000000 	 7.149429e+05
252 	 1200000 	 7.113503e+05
252 	 1400000 	 7.075046e+05
252 	 1600000 	 7.033331e+05
253 	 200000 	 7.281748e+05
253 	 400000 	 7.253419e+05
253 	 600000 	 7.223658e+05
253 	 800000 	 7.192292e+05
253 	 1000000 	 7.159084e+05
253 	 1200000 	 7.123772e+05
253 	 1400000 	 7.085942e+05
253 	 1600000 	 7.045073e+05
254 	 200000 	 7.290547e+05
254 	 400000 	 7.262525e+05
254 	 600000 	 7.233082e+05
254 	 800000 	 7.202088e+05
254 	 1000000 	 7.169343e+05
254 	 1200000 	 7.134585e+05
254 	 1400000 	 7.097407e+05
254 	 1600000 	 7.057298e+05
254 	 1800000 	 7.013764e+05
255 	 200000 	 7.299130e+05
255 	 400000 	 7.271342e+05
255 	 600000 	 7.242202e+05
255 	 800000 	 7.211584e+05
255 	 1000000 	 7.179281e+05
255 	 1200000 	 7.144989e+05
255 	 1400000 	 7.108382e+05
255 	 1600000 	 7.069090e+05
255 	 1800000 	 7.026523e+05
256 	 200000 	 7.307231e+05
256 	 400000 	 7.279694e+05
256 	 600000 	 7.250870e+05
256 	 800000 	 7.220615e+05
256 	 1000000 	 7.188726e+05
256 	 1200000 	 7.154989e+05
256 	 1400000 	 7.119089e+05
256 	 1600000 	 7.080616e+05
256 	 1800000 	 7.039048e+05
257 	 200000 	 7.316082e+05
257 	 400000 	 7.288820e+05
257 	 600000 	 7.260310e+05
257 	 800000 	 7.230411e+05
257 	 1000000 	 7.198933e+05
257 	 1200000 	 7.165656e+05
257 	 1400000 	 7.130297e+05
257 	 1600000 	 7.092479e+05
257 	 1800000 	 7.051696e+05
257 	 2000000 	 7.007327e+05
258 	 200000 	 7.324494e+05
258 	 400000 	 7.297480e+05
258 	 600000 	 7.269245e+05
258 	 800000 	 7.239680e+05
258 	 1000000 	 7.208602e+05
258 	 1200000 	 7.175792e+05
258 	 1400000 	 7.141000e+05
258 	 1600000 	 7.103913e+05
258 	 1800000 	 7.064023e+05
258 	 2000000 	 7.020699e+05
259 	 200000 	 7.332946e+05
259 	 400000 	 7.306194e+05
259 	 600000 	 7.278247e+05
259 	 800000 	 7.249033e+05
259 	 1000000 	 7.218358e+05
259 	 1200000 	 7.186021e+05
259 	 1400000 	 7.151756e+05
259 	 1600000 	 7.115273e+05
259 	 1800000 	 7.076184e+05
259 	 2000000 	 7.033834e+05
260 	 200000 	 7.341290e+05
260 	 400000 	 7.314786e+05
260 	 600000 	 7.287127e+05
260 	 800000 	 7.258224e+05
260 	 1000000 	 7.227924e+05
260 	 1200000 	 7.196034e+05
260 	 1400000 	 7.162339e+05
260 	 1600000 	 7.126523e+05
260 	 1800000 	 7.088168e+05
260 	 2000000 	 7.046804e+05
261 	 200000 	 7.350004e+05
261 	 400000 	 7.323764e+05
261 	 600000 	 7.296405e+05
261 	 800000 	 7.267826e+05
261 	 1000000 	 7.237903e+05
261 	 1200000 	 7.206448e+05
261 	 1400000 	 7.173254e+05
261 	 1600000 	 7.138027e+05
261 	 1800000 	 7.100393e+05
261 	 2000000 	 7.059923e+05
261 	 2200000 	 7.015906e+05
262 	 200000 	 7.358484e+05
